assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker
96.0841;13986;13.3954;14.4603;20.5324;22.0612;44.5;3.322;2.1673;4.0478;2.0171;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;45.41;3.39;2.2116;4.1306;2.0584;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;45.77;3.4169;2.2292;4.1633;2.0747;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;46.94;3.5042;2.2861;4.2697;2.1277;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;46.76;3.4908;2.2774;4.2534;2.1196;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;46.39;3.4631;2.2594;4.2197;2.1028;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;48.25;3.602;2.3499;4.3889;2.1871;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;47.63;3.5557;2.3198;4.3325;2.159;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;47.79;3.5677;2.3275;4.3471;2.1662;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;47.79;3.5677;2.3275;4.3471;2.1662;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;49.43;3.6901;2.4074;4.4962;2.2406;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;49.66;3.7073;2.4186;4.5172;2.251;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;49.22;3.6744;2.3972;4.4771;2.2311;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;49.6;3.7028;2.4157;4.5117;2.2483;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;49.69;3.7095;2.4201;4.5199;2.2524;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;51.42;3.8386;2.5043;4.6773;2.3308;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;52.03;3.8842;2.534;4.7327;2.3584;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;52.8;3.9417;2.5716;4.8028;2.3933;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;53.12;3.9656;2.5871;4.8319;2.4078;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;55.11;4.1141;2.6841;5.0129;2.4981;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;53.2;3.9715;2.591;4.8392;2.4115;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;52.87;3.9469;2.575;4.8091;2.3965;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;53.92;4.0253;2.6261;4.9047;2.4441;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;54.48;4.0671;2.6534;4.9556;2.4695;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;54.98;4.1044;2.6777;5.0011;2.4922;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;55.45;4.1395;2.7006;5.0438;2.5135;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;55.12;4.1149;2.6845;5.0138;2.4985;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;56.38;4.2089;2.7459;5.1284;2.5556;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;58.25;4.3485;2.837;5.2985;2.6404;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;57.74;4.3104;2.8121;5.2521;2.6173;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;58.6;4.3747;2.854;5.3304;2.6562;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;57.94;4.3254;2.8219;5.2703;2.6263;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;57.57;4.2978;2.8039;5.2367;2.6096;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;55.92;4.1746;2.7235;5.0866;2.5348;1361346696;SUZB3
96.0841;13986;13.3954;14.4603;20.5324;22.0612;56.08;4.1865;2.7313;5.1011;2.542;1361346696;SUZB3
